0.000	0.420	Prince
0.420	0.840	 darling
0.840	1.440	 had
1.440	1.800	 also
1.800	2.520	 been
2.520	3.000	 brought
3.000	3.360	 up
3.360	4.020	 by
4.020	4.260	 a
4.260	4.800	 foolish
4.800	5.580	 nurse,
5.580	6.120	 who
6.120	6.480	 always
6.480	7.260	 spelled
7.260	7.620	 him
7.620	8.100	 since
8.100	8.700	 he
8.700	9.120	 was
9.120	9.480	 a
9.480	11.280	 little,
11.280	11.580	 he
11.580	11.700	 was
11.700	11.880	 a
11.880	12.120	 child.
12.240	14.460	 Remember,
14.460	14.580	 my
14.580	15.120	 dear.
15.240	16.620	 One
16.620	17.100	 day,
17.100	17.220	 you
17.220	17.460	 will
17.460	17.880	 be
17.880	18.480	 a,
18.480	19.260	 will
19.260	19.380	 be
19.380	19.680	 king.
19.800	22.140	 As
22.140	22.380	 a
22.380	22.680	 king.
22.800	23.760	 You
23.760	24.000	 can
24.000	24.360	 do
24.360	24.780	 whatever
24.780	25.620	 you
25.620	26.100	 please.
26.160	27.720	 No
27.720	27.960	 one
27.960	28.260	 will
28.260	28.680	 have
28.680	29.100	 the
29.100	29.400	 power
29.400	29.760	 to
29.760	30.000	 stop
30.000	30.780	 you.
30.840	34.140	 I'm
34.140	34.620	 very
34.620	35.160	 unhappy
35.160	35.520	 to
35.520	35.820	 have
35.820	36.180	 the
36.180	37.140	 struggle
37.140	39.060	 against
39.060	40.740	 my
40.740	41.460	 anger
41.460	41.760	 and
41.760	42.420	 pride
42.420	42.960	 every
42.960	44.340	 day.
44.400	46.320	 Kiss
46.320	46.560	 out
46.560	46.860	 to
46.860	47.280	 himself.
47.340	49.680	 If
49.680	49.980	 I
49.980	50.160	 had
50.160	50.400	 been
50.400	50.940	 punished
50.940	53.100	 for,
53.100	53.880	 when
53.880	54.060	 I
54.060	54.120	 was
54.120	54.480	 little.
