0.000	0.420	Prince	0.99
0.420	0.840	 darling	0.68
0.840	1.440	 had	1.00
1.440	1.800	 also	1.00
1.800	2.520	 been	0.99
2.520	3.000	 brought	1.00
3.000	3.360	 up	1.00
3.360	4.020	 by	0.97
4.020	4.260	 a	1.00
4.260	4.800	 foolish	1.00
4.800	5.580	 nurse,	0.81
5.580	6.120	 who	0.91
6.120	6.480	 always	1.00
6.480	7.260	 spelled	0.89
7.260	7.620	 him	0.99
7.620	8.100	 since	0.90
8.100	8.700	 he	0.97
8.700	9.120	 was	1.00
9.120	9.480	 a	0.90
9.480	11.280	 little,	0.09
11.280	11.580	 he	0.75
11.580	11.700	 was	0.99
11.700	11.880	 a	0.99
11.880	12.120	 child.	0.91
12.240	14.460	 Remember,	0.69
14.460	14.580	 my	0.99
14.580	15.120	 dear.	0.73
15.240	16.620	 One	0.30
16.620	17.100	 day,	0.61
17.100	17.220	 you	0.98
17.220	17.460	 will	0.98
17.460	17.880	 be	0.94
17.880	18.480	 a,	0.22
18.480	19.260	 will	0.79
19.260	19.380	 be	0.91
19.380	19.680	 king.	0.65
19.800	22.140	 As	0.22
22.140	22.380	 a	0.97
22.380	22.680	 king.	0.74
22.800	23.760	 You	0.64
23.760	24.000	 can	0.98
24.000	24.360	 do	0.99
24.360	24.780	 whatever	0.99
24.780	25.620	 you	0.97
25.620	26.100	 please.	0.72
26.160	27.720	 No	0.77
27.720	27.960	 one	0.99
27.960	28.260	 will	0.99
28.260	28.680	 have	0.99
28.680	29.100	 the	0.99
29.100	29.400	 power	0.99
29.400	29.760	 to	0.99
29.760	30.000	 stop	0.99
30.000	30.780	 you.	0.88
30.840	34.140	 I'm	0.75
34.140	34.620	 very	0.99
34.620	35.160	 unhappy	0.98
35.160	35.520	 to	0.90
35.520	35.820	 have	0.99
35.820	36.180	 the	0.98
36.180	37.140	 struggle	0.98
37.140	39.060	 against	0.86
39.060	40.740	 my	0.79
40.740	41.460	 anger	0.98
41.460	41.760	 and	0.96
41.760	42.420	 pride	0.94
42.420	42.960	 every	0.91
42.960	44.340	 day.	0.78
44.400	46.320	 Kiss	0.13
46.320	46.560	 out	0.38
46.560	46.860	 to	0.87
46.860	47.280	 himself.	0.77
47.340	49.680	 If	0.79
49.680	49.980	 I	0.99
49.980	50.160	 had	0.99
50.160	50.400	 been	1.00
50.400	50.940	 punished	0.99
50.940	53.100	 for,	0.52
53.100	53.880	 when	0.85
53.880	54.060	 I	0.99
54.060	54.120	 was	0.99
54.120	54.480	 little.	0.71
