0.000	1.020	Surprisingly,
1.020	1.620	 when
1.620	2.040	 Prince
2.040	2.640	 Darling
2.640	2.940	 was
2.940	3.540	 very
3.540	4.500	 angry,
4.500	4.860	 was
4.860	5.760	 angry,
5.760	6.660	 his
6.660	7.140	 ring
7.140	7.860	 seemed
7.860	8.280	 to
8.280	8.700	 press
8.700	9.540	 harder
9.540	9.900	 into
9.900	10.260	 his
10.260	11.280	 finger.
11.280	14.460	 The
14.460	14.700	 poor
14.700	15.000	 little
15.000	15.720	 dog,
15.720	16.380	 who
16.380	16.920	 didn't
16.920	17.220	 understand
17.220	18.000	 this
18.000	18.360	 at
18.360	19.260	 all,
19.260	20.340	 pulled
20.340	20.640	 Prince
20.640	21.540	 Darling's
21.540	22.200	 coat
22.200	22.500	 to
22.500	22.680	 make
22.680	23.160	 him
23.160	23.760	 at
23.760	24.060	 least
24.060	24.660	 look
24.660	25.560	 at
25.560	25.920	 her.
25.980	29.700	 And
29.700	30.120	 this
30.120	30.780	 made
30.780	30.960	 the
30.960	31.320	 prince
31.320	31.620	 so
31.620	31.920	 cross
31.920	32.400	 that
32.400	33.240	 he
33.240	33.720	 gave
33.720	34.020	 her
34.020	34.740	 a
34.740	34.980	 hard
34.980	35.520	 kick.
35.640	37.260	 Instantly
37.260	38.460	 his
38.460	38.760	 ring
38.760	40.260	 pricked
40.260	40.560	 him
40.560	41.580	 sharply.
41.640	45.600	 As
45.600	45.840	 though
45.840	46.500	 a
46.500	46.980	 pink
46.980	48.360	 stuck
48.360	48.780	 his
48.780	49.560	 in
49.560	49.980	 his
49.980	50.220	 finger.
50.340	52.860	 I
52.860	52.980	 am
52.980	53.220	 not
53.220	53.520	 making
53.520	53.940	 fun
53.940	54.120	 of
54.120	54.360	 you.
54.420	56.820	 You
56.820	57.060	 have
57.060	57.780	 made
57.780	58.140	 2
58.140	58.860	 mistakes.
58.980	61.140	 First.
61.440	63.060	 You
63.060	63.360	 were
63.360	63.600	 angry
63.600	64.140	 because
64.140	64.560	 you
64.560	64.980	 could
64.980	65.580	 did
65.580	65.820	 not
65.820	66.120	 meet
66.120	66.780	 your
66.780	67.800	 haunting
67.800	68.700	 go
68.700	69.540	 in
69.540	69.720	 the
69.720	70.260	 forest.
70.320	71.640	 2nd
71.880	73.380	 You
73.380	73.680	 were
73.680	74.220	 cruel
74.220	74.460	 to
74.460	74.700	 a
74.700	75.000	 poor
75.000	75.420	 little
75.420	75.780	 animal
75.780	76.380	 who
76.380	76.920	 did
76.920	77.100	 not
77.100	77.580	 in
77.580	77.760	 the
77.760	79.500	 list
79.500	80.820	 deserve
80.820	81.240	 to
81.240	81.420	 be
81.420	82.260	 ill
82.260	82.920	 treated.
