0.000	1.200	In	0.94
1.200	5.460	 1996,	0.51
5.460	5.760	 through	0.24
5.760	6.120	 this	0.19
6.120	7.140	 13,	0.33
7.140	7.740	 the	0.88
7.740	8.280	 digital	0.97
8.280	11.520	 mural.	0.62
11.580	12.660	 People	0.81
12.660	13.200	 use	0.93
13.200	14.400	 computers	0.93
14.400	15.480	 to	0.88
15.480	16.080	 make	0.99
16.080	17.580	 euros.	0.47
19.260	19.740	 One	0.88
19.740	20.220	 project	0.99
20.220	21.060	 is	0.97
21.060	22.860	 called.	0.53
23.040	24.120	 We,	0.28
24.120	28.680	 to	0.87
28.680	29.520	 the	0.47
29.520	31.260	 LA	0.67
31.260	32.880	 history.	0.60
33.000	35.280	 Our	0.61
35.280	35.940	 student	0.68
35.940	37.440	 made	0.65
37.440	38.460	 6	0.88
38.460	39.420	 large	0.82
39.420	41.280	 digital	0.84
41.280	42.660	 mirror	0.52
42.660	45.600	 images.	0.53
45.720	46.740	 Each	0.28
46.740	48.120	 images,	0.13
48.120	49.680	 images,	0.00
49.680	50.520	 images,	0.41
50.520	51.840	 dude,	0.13
51.840	52.320	 for	0.85
52.320	52.740	 a	0.71
52.740	53.820	 different	0.95
53.820	56.100	 culture.	0.57
56.220	58.320	 Group,	0.42
58.320	58.620	 do	0.44
58.620	59.040	 you	0.44
59.040	60.060	 want	0.07
60.060	60.420	 it	0.11
60.420	60.900	 to	0.95
60.900	61.200	 show	0.91
61.200	61.920	 that	0.97
61.920	62.580	 all	0.98
62.580	62.880	 the	0.93
62.880	65.400	 culture	0.79
65.400	68.700	 group.	0.51
68.700	70.620	 Country,	0.29
70.620	72.240	 build,	0.38
72.240	74.640	 contribute,	0.72
74.640	76.080	 to	0.43
76.080	76.380	 the	0.98
76.380	77.100	 city.	0.69
77.160	79.500	 They	0.59
79.500	80.460	 are.	0.49
80.700	84.120	 Part	0.67
84.120	84.600	 of	0.99
84.600	85.920	 the,	0.52
85.920	88.080	 Ma,	0.16
88.080	89.340	 Mo,	0.08
89.340	90.780	 T.	0.39
90.840	93.840	 Ethnic.	0.37
93.840	95.400	 Story	0.35
95.400	96.060	 of	0.96
96.060	96.300	 Los	0.99
96.300	96.960	 Angeles.	0.80
97.080	99.600	 In	0.13
99.600	101.340	 9,	0.22
101.340	101.520	 in	0.27
101.520	102.600	 9,	0.10
102.600	105.840	 1999,	0.34
105.840	106.500	 Jody	0.40
106.500	106.860	 began	0.49
106.860	107.640	 a	0.86
107.640	108.180	 project	0.95
108.180	109.680	 with.	0.58
109.800	112.260	 With,	0.38
112.260	117.300	 125	0.90
117.300	118.860	 teenagers,	0.75
118.860	119.280	 the	0.65
119.280	120.420	 project	0.56
120.420	121.380	 was	0.96
121.380	121.740	 called	0.96
121.740	125.460	 shoulder	0.77
125.460	125.700	 to	0.94
125.700	126.780	 shoulder.	0.63
126.840	127.020	 Each	0.45
127.020	128.040	 teenager's	0.65
128.040	128.640	 had	0.91
128.640	129.840	 uh,	0.24
129.840	131.580	 partner,	0.62
131.580	132.120	 the	0.84
132.120	132.780	 teenager	0.98
132.780	133.560	 were,	0.45
133.560	137.100	 Partners,	0.42
137.100	137.760	 with	0.43
137.760	138.480	 someone	0.75
138.480	140.280	 very,	0.40
140.280	143.340	 Different	0.75
143.340	144.000	 from	0.93
144.000	144.660	 them.	0.47
144.720	147.300	 The,	0.35
147.300	148.440	 Paris	0.34
148.440	149.820	 talked	0.55
149.820	150.360	 about	0.96
150.360	151.860	 how,	0.41
151.860	154.140	 They	0.85
154.140	154.500	 were	0.97
154.500	155.280	 the	0.87
155.280	155.760	 same.	0.78
155.820	158.460	 And	0.85
158.460	159.120	 how	0.96
159.120	159.660	 they	0.94
159.660	160.080	 were	0.87
160.080	160.800	 different.	0.74
160.920	166.080	 Then	0.67
166.080	166.620	 the	0.93
166.620	167.640	 teenagers	0.83
167.640	169.260	 pain,	0.57
169.260	170.280	 teenagers,	0.79
170.280	170.940	 pain,	0.29
170.940	172.860	 painted,	0.47
172.860	174.060	 banners	0.84
174.060	174.420	 to	0.90
174.420	174.780	 show	0.85
174.780	175.740	 what	0.55
175.740	176.760	 they	0.91
176.760	177.060	 had	0.96
177.060	178.020	 learned,	0.69
178.020	178.500	 the	0.88
178.500	180.420	 banners.	0.72
180.480	181.440	 Were	0.10
181.440	181.800	 hung	0.92
181.800	182.880	 all	0.81
182.880	183.240	 over	0.97
183.240	185.580	 Los	0.97
185.580	186.420	 Angeles.	0.71
186.540	191.640	 No.	0.47
191.760	193.140	 Judy,	0.20
193.140	194.940	 has	0.57
194.940	195.900	 meant	0.40
195.900	196.440	 Los	0.99
196.440	197.700	 Angeles,	0.50
197.700	198.000	 a	0.64
198.000	198.360	 more	0.95
198.360	200.160	 colorful	0.88
200.160	201.480	 place,	0.43
201.480	202.380	 Judy	0.07
202.380	203.640	 Barkhouse.	0.26
203.700	205.260	 To	0.12
205.260	205.620	 the	0.28
205.620	205.860	 back	0.11
205.860	206.220	 house	0.11
206.220	206.880	 helped	0.76
206.880	207.780	 fill	0.53
207.780	209.220	 Los	0.99
209.220	209.940	 Angeles	0.98
209.940	210.660	 with	0.75
210.660	211.740	 in.	0.42
211.740	216.120	 Images,	0.31
216.120	217.260	 images,	0.39
217.260	220.020	 are	0.77
220.020	220.920	 her	0.71
220.920	222.180	 mural	0.58
222.180	222.840	 showed	0.38
222.840	223.020	 the	0.67
223.020	224.100	 hope.	0.49
224.160	226.680	 Hopes,	0.34
226.680	227.040	 and	0.95
227.040	227.400	 the	0.64
227.400	227.640	 dreams	0.86
227.640	228.660	 of	0.94
228.660	228.960	 the	0.99
228.960	229.560	 people,	0.53
229.560	231.720	 of	0.59
231.720	232.500	 Los	0.97
232.500	233.520	 Angeles.	0.78
